"Contour","Résultat","Description des séries","Déviation standard (BQML)","Max (BQML)","Min (BQML)","Moyenne (BQML)","Volume (ml)"
"Fond 1","Résultat 7","FANT_ANTHROPO_MEDSURE_1_QUADRA_20241011_090516-LM-00-PSFTOF_3i5s_G0_000_000_TEP.v 3i 5s","70","1941","1474","1706","14"
"","Résultat 7","FANT_ANTHROPO_MEDSURE_1_QUADRA_20241011_090516-LM-00-PSFTOF_3i5s_G2_000_000_TEP.v 3i 5s","59","1905","1506","1706","14"
"","Résultat 7","FANT_ANTHROPO_MEDSURE_1_QUADRA_20241011_090516-LM-00-PSFTOF_3i5s_G4_000_000_TEP.v 3i 5s","39","1840","1579","1705","14"
"","Résultat 7","FANT_ANTHROPO_MEDSURE_1_QUADRA_20241011_090516-LM-00-PSFTOF_4i5s_G0_000_000_TEP.v 4i 5s","87","2006","1425","1708","14"
"","Résultat 7","FANT_ANTHROPO_MEDSURE_1_QUADRA_20241011_090516-LM-00-PSFTOF_4i5s_G2_V2_000_000_TEP.v 4i 5s","72","1952","1465","1707","14"
"","Résultat 7","FANT_ANTHROPO_MEDSURE_1_QUADRA_20241011_090516-LM-00-PSFTOF_4i5s_G4_000_000_TEP.v 4i 5s","46","1870","1556","1706","14"
"","Résultat 7","FANT_ANTHROPO_MEDSURE_1_QUADRA_20241011_090516-LM-00-PSFTOF_5i5s_G0_000_000_TEP2.v 5i 5s","102","2065","1382","1708","14"
"","Résultat 7","FANT_ANTHROPO_MEDSURE_1_QUADRA_20241011_090516-LM-00-PSFTOF_5i5s_G2_000_000_TEP2.v 5i 5s","85","2000","1429","1707","14"
"","Résultat 7","FANT_ANTHROPO_MEDSURE_1_QUADRA_20241011_090516-LM-00-PSFTOF_5i5s_G4_000_000_TEP2.v 5i 5s","52","1895","1536","1706","14"
"","Résultat 7","FANT_ANTHROPO_MEDSURE_1_QUADRA_20241011_090516-LM-00-PSFTOF_6i5s_G0_000_000_TEP2.v 6i 5s","117","2121","1342","1708","14"
"","Résultat 7","FANT_ANTHROPO_MEDSURE_1_QUADRA_20241011_090516-LM-00-PSFTOF_6i5s_G2_000_000_TEP2.v 6i 5s","96","2043","1396","1707","14"
"","Résultat 7","FANT_ANTHROPO_MEDSURE_1_QUADRA_20241011_090516-LM-00-PSFTOF_6i5s_G4_000_000_TEP2.v 6i 5s","57","1917","1518","1706","14"
"Fond 2","Résultat 8","FANT_ANTHROPO_MEDSURE_1_QUADRA_20241011_090516-LM-00-PSFTOF_3i5s_G0_000_000_TEP.v 3i 5s","70","1968","1484","1718","14"
"","Résultat 8","FANT_ANTHROPO_MEDSURE_1_QUADRA_20241011_090516-LM-00-PSFTOF_3i5s_G2_000_000_TEP.v 3i 5s","59","1935","1516","1719","14"
"","Résultat 8","FANT_ANTHROPO_MEDSURE_1_QUADRA_20241011_090516-LM-00-PSFTOF_3i5s_G4_000_000_TEP.v 3i 5s","39","1859","1581","1720","14"
"","Résultat 8","FANT_ANTHROPO_MEDSURE_1_QUADRA_20241011_090516-LM-00-PSFTOF_4i5s_G0_000_000_TEP.v 4i 5s","88","2033","1431","1718","14"
"","Résultat 8","FANT_ANTHROPO_MEDSURE_1_QUADRA_20241011_090516-LM-00-PSFTOF_4i5s_G2_V2_000_000_TEP.v 4i 5s","73","1991","1476","1719","14"
"","Résultat 8","FANT_ANTHROPO_MEDSURE_1_QUADRA_20241011_090516-LM-00-PSFTOF_4i5s_G4_000_000_TEP.v 4i 5s","46","1891","1557","1721","14"
"","Résultat 8","FANT_ANTHROPO_MEDSURE_1_QUADRA_20241011_090516-LM-00-PSFTOF_5i5s_G0_000_000_TEP2.v 5i 5s","105","2092","1383","1717","14"
"","Résultat 8","FANT_ANTHROPO_MEDSURE_1_QUADRA_20241011_090516-LM-00-PSFTOF_5i5s_G2_000_000_TEP2.v 5i 5s","86","2041","1442","1718","14"
"","Résultat 8","FANT_ANTHROPO_MEDSURE_1_QUADRA_20241011_090516-LM-00-PSFTOF_5i5s_G4_000_000_TEP2.v 5i 5s","52","1920","1537","1720","14"
"","Résultat 8","FANT_ANTHROPO_MEDSURE_1_QUADRA_20241011_090516-LM-00-PSFTOF_6i5s_G0_000_000_TEP2.v 6i 5s","120","2147","1340","1717","14"
"","Résultat 8","FANT_ANTHROPO_MEDSURE_1_QUADRA_20241011_090516-LM-00-PSFTOF_6i5s_G2_000_000_TEP2.v 6i 5s","98","2086","1411","1718","14"
"","Résultat 8","FANT_ANTHROPO_MEDSURE_1_QUADRA_20241011_090516-LM-00-PSFTOF_6i5s_G4_000_000_TEP2.v 6i 5s","57","1946","1520","1720","14"
"Fond 3","Résultat 9","FANT_ANTHROPO_MEDSURE_1_QUADRA_20241011_090516-LM-00-PSFTOF_3i5s_G0_000_000_TEP.v 3i 5s","97","2192","1439","1736","14"
"","Résultat 9","FANT_ANTHROPO_MEDSURE_1_QUADRA_20241011_090516-LM-00-PSFTOF_3i5s_G2_000_000_TEP.v 3i 5s","81","2103","1480","1736","14"
"","Résultat 9","FANT_ANTHROPO_MEDSURE_1_QUADRA_20241011_090516-LM-00-PSFTOF_3i5s_G4_000_000_TEP.v 3i 5s","54","1941","1542","1737","14"
"","Résultat 9","FANT_ANTHROPO_MEDSURE_1_QUADRA_20241011_090516-LM-00-PSFTOF_4i5s_G0_000_000_TEP.v 4i 5s","120","2302","1373","1727","14"
"","Résultat 9","FANT_ANTHROPO_MEDSURE_1_QUADRA_20241011_090516-LM-00-PSFTOF_4i5s_G2_V2_000_000_TEP.v 4i 5s","99","2185","1430","1728","14"
"","Résultat 9","FANT_ANTHROPO_MEDSURE_1_QUADRA_20241011_090516-LM-00-PSFTOF_4i5s_G4_000_000_TEP.v 4i 5s","61","1972","1536","1729","14"
"","Résultat 9","FANT_ANTHROPO_MEDSURE_1_QUADRA_20241011_090516-LM-00-PSFTOF_5i5s_G0_000_000_TEP2.v 5i 5s","142","2403","1304","1722","14"
"","Résultat 9","FANT_ANTHROPO_MEDSURE_1_QUADRA_20241011_090516-LM-00-PSFTOF_5i5s_G2_000_000_TEP2.v 5i 5s","115","2258","1374","1723","14"
"","Résultat 9","FANT_ANTHROPO_MEDSURE_1_QUADRA_20241011_090516-LM-00-PSFTOF_5i5s_G4_000_000_TEP2.v 5i 5s","68","1998","1510","1724","14"
"","Résultat 9","FANT_ANTHROPO_MEDSURE_1_QUADRA_20241011_090516-LM-00-PSFTOF_6i5s_G0_000_000_TEP2.v 6i 5s","163","2499","1244","1719","14"
"","Résultat 9","FANT_ANTHROPO_MEDSURE_1_QUADRA_20241011_090516-LM-00-PSFTOF_6i5s_G2_000_000_TEP2.v 6i 5s","131","2326","1328","1720","14"
"","Résultat 9","FANT_ANTHROPO_MEDSURE_1_QUADRA_20241011_090516-LM-00-PSFTOF_6i5s_G4_000_000_TEP2.v 6i 5s","74","2021","1480","1721","14"
"Fond foie","Résultat 6","FANT_ANTHROPO_MEDSURE_1_QUADRA_20241011_090516-LM-00-PSFTOF_3i5s_G0_000_000_TEP.v 3i 5s","155","4682","3710","4177","14"
"","Résultat 6","FANT_ANTHROPO_MEDSURE_1_QUADRA_20241011_090516-LM-00-PSFTOF_3i5s_G2_000_000_TEP.v 3i 5s","131","4597","3794","4178","14"
"","Résultat 6","FANT_ANTHROPO_MEDSURE_1_QUADRA_20241011_090516-LM-00-PSFTOF_3i5s_G4_000_000_TEP.v 3i 5s","87","4442","3935","4179","14"
"","Résultat 6","FANT_ANTHROPO_MEDSURE_1_QUADRA_20241011_090516-LM-00-PSFTOF_4i5s_G0_000_000_TEP.v 4i 5s","192","4799","3576","4175","14"
"","Résultat 6","FANT_ANTHROPO_MEDSURE_1_QUADRA_20241011_090516-LM-00-PSFTOF_4i5s_G2_V2_000_000_TEP.v 4i 5s","160","4687","3682","4175","14"
"","Résultat 6","FANT_ANTHROPO_MEDSURE_1_QUADRA_20241011_090516-LM-00-PSFTOF_4i5s_G4_000_000_TEP.v 4i 5s","102","4490","3891","4177","14"
"","Résultat 6","FANT_ANTHROPO_MEDSURE_1_QUADRA_20241011_090516-LM-00-PSFTOF_5i5s_G0_000_000_TEP2.v 5i 5s","228","4929","3462","4176","14"
"","Résultat 6","FANT_ANTHROPO_MEDSURE_1_QUADRA_20241011_090516-LM-00-PSFTOF_5i5s_G2_000_000_TEP2.v 5i 5s","187","4775","3589","4176","14"
"","Résultat 6","FANT_ANTHROPO_MEDSURE_1_QUADRA_20241011_090516-LM-00-PSFTOF_5i5s_G4_000_000_TEP2.v 5i 5s","115","4536","3854","4178","14"
"","Résultat 6","FANT_ANTHROPO_MEDSURE_1_QUADRA_20241011_090516-LM-00-PSFTOF_6i5s_G0_000_000_TEP2.v 6i 5s","261","5058","3359","4177","14"
"","Résultat 6","FANT_ANTHROPO_MEDSURE_1_QUADRA_20241011_090516-LM-00-PSFTOF_6i5s_G2_000_000_TEP2.v 6i 5s","212","4859","3505","4177","14"
