"Contour","Description des séries","Déviation standard (BQML)","Max (BQML)","Min (BQML)","Moyenne (BQML)","Volume (ml)"
"Fond 1","FANT_ANTHROPO_QUADRA_MESURE_5_20241105_180536-LM-00-PSFTOF_3i5s_G0_000_000_TEP.v 3i 5s","87,95","1952,77","1421,5","1686,97","14,25"
"","FANT_ANTHROPO_QUADRA_MESURE_5_20241105_180536-LM-00-PSFTOF_3i5s_G2_000_000_TEP.v 3i 5s","71,43","1914,43","1468,12","1687,11","14,25"
"","FANT_ANTHROPO_QUADRA_MESURE_5_20241105_180536-LM-00-PSFTOF_3i5s_G4_000_000_TEP.v 3i 5s","42,95","1836,51","1542,57","1687,28","14,25"
"","FANT_ANTHROPO_QUADRA_MESURE_5_20241105_180536-LM-00-PSFTOF_4i5s_G0_000_000_TEP.v 4i 5s","111,77","2024,76","1348,26","1682,87","14,25"
"","FANT_ANTHROPO_QUADRA_MESURE_5_20241105_180536-LM-00-PSFTOF_4i5s_G2_000_000_TEP.v 4i 5s","89,74","1966","1405,83","1683,03","14,25"
"","FANT_ANTHROPO_QUADRA_MESURE_5_20241105_180536-LM-00-PSFTOF_4i5s_G4_000_000_TEP.v 4i 5s","51,94","1862,25","1508,25","1683,22","14,25"
"","FANT_ANTHROPO_QUADRA_MESURE_5_20241105_180536-LM-00-PSFTOF_5i5s_G0_000_000_TEP.v 5i 5s","134,18","2099,97","1287,08","1681,29","14,25"
"","FANT_ANTHROPO_QUADRA_MESURE_5_20241105_180536-LM-00-PSFTOF_5i5s_G2_000_000_TEP.v 5i 5s","106,66","2013,77","1355,09","1681,47","14,25"
"","FANT_ANTHROPO_QUADRA_MESURE_5_20241105_180536-LM-00-PSFTOF_5i5s_G4_000_000_TEP.v 5i 5s","59,64","1886,79","1482,12","1681,68","14,25"
"","FANT_ANTHROPO_QUADRA_MESURE_5_20241105_180536-LM-00-PSFTOF_6i5s_G0_000_000_TEP.v 6i 5s","155,48","2173,07","1234,99","1680,68","14,25"
"","FANT_ANTHROPO_QUADRA_MESURE_5_20241105_180536-LM-00-PSFTOF_6i5s_G2_000_000_TEP.v 6i 5s","122,49","2060,15","1311,26","1680,87","14,25"
"","FANT_ANTHROPO_QUADRA_MESURE_5_20241105_180536-LM-00-PSFTOF_6i5s_G4_000_000_TEP.v 6i 5s","66,41","1908,22","1461,17","1681,1","14,25"
"Fond 2","FANT_ANTHROPO_QUADRA_MESURE_5_20241105_180536-LM-00-PSFTOF_3i5s_G0_000_000_TEP.v 3i 5s","67,58","1930,43","1391,98","1620,39","14,35"
"","FANT_ANTHROPO_QUADRA_MESURE_5_20241105_180536-LM-00-PSFTOF_3i5s_G2_000_000_TEP.v 3i 5s","57,65","1891,93","1433,28","1620,26","14,35"
"","FANT_ANTHROPO_QUADRA_MESURE_5_20241105_180536-LM-00-PSFTOF_3i5s_G4_000_000_TEP.v 3i 5s","38,84","1807,86","1498,97","1619,81","14,35"
"","FANT_ANTHROPO_QUADRA_MESURE_5_20241105_180536-LM-00-PSFTOF_4i5s_G0_000_000_TEP.v 4i 5s","83,77","1999,53","1339,59","1622,51","14,35"
"","FANT_ANTHROPO_QUADRA_MESURE_5_20241105_180536-LM-00-PSFTOF_4i5s_G2_000_000_TEP.v 4i 5s","70,4","1950,1","1392,82","1622,37","14,35"
"","FANT_ANTHROPO_QUADRA_MESURE_5_20241105_180536-LM-00-PSFTOF_4i5s_G4_000_000_TEP.v 4i 5s","45,23","1841,83","1487,82","1621,86","14,35"
"","FANT_ANTHROPO_QUADRA_MESURE_5_20241105_180536-LM-00-PSFTOF_5i5s_G0_000_000_TEP.v 5i 5s","98,85","2062,25","1292,47","1623,15","14,35"
"","FANT_ANTHROPO_QUADRA_MESURE_5_20241105_180536-LM-00-PSFTOF_5i5s_G2_000_000_TEP.v 5i 5s","82,15","2001,66","1355,81","1622,99","14,35"
"","FANT_ANTHROPO_QUADRA_MESURE_5_20241105_180536-LM-00-PSFTOF_5i5s_G4_000_000_TEP.v 5i 5s","51,02","1871,41","1475,36","1622,46","14,35"
"","FANT_ANTHROPO_QUADRA_MESURE_5_20241105_180536-LM-00-PSFTOF_6i5s_G0_000_000_TEP.v 6i 5s","112,98","2118,2","1249,27","1623,16","14,35"
"","FANT_ANTHROPO_QUADRA_MESURE_5_20241105_180536-LM-00-PSFTOF_6i5s_G2_000_000_TEP.v 6i 5s","93,03","2047,57","1321,74","1622,98","14,35"
"","FANT_ANTHROPO_QUADRA_MESURE_5_20241105_180536-LM-00-PSFTOF_6i5s_G4_000_000_TEP.v 6i 5s","56,24","1897,2","1462,4","1622,43","14,35"
"Fond 3","FANT_ANTHROPO_QUADRA_MESURE_5_20241105_180536-LM-00-PSFTOF_3i5s_G0_000_000_TEP.v 3i 5s","68,15","1894,53","1451,01","1663,63","13,95"
"","FANT_ANTHROPO_QUADRA_MESURE_5_20241105_180536-LM-00-PSFTOF_3i5s_G2_000_000_TEP.v 3i 5s","57,74","1854,19","1481,18","1663,66","13,95"
"","FANT_ANTHROPO_QUADRA_MESURE_5_20241105_180536-LM-00-PSFTOF_3i5s_G4_000_000_TEP.v 3i 5s","38,31","1779,21","1544,43","1663,45","13,95"
"","FANT_ANTHROPO_QUADRA_MESURE_5_20241105_180536-LM-00-PSFTOF_4i5s_G0_000_000_TEP.v 4i 5s","84,95","1954,58","1407,4","1664,54","13,95"
"","FANT_ANTHROPO_QUADRA_MESURE_5_20241105_180536-LM-00-PSFTOF_4i5s_G2_000_000_TEP.v 4i 5s","71","1908,17","1445,59","1664,59","13,95"
"","FANT_ANTHROPO_QUADRA_MESURE_5_20241105_180536-LM-00-PSFTOF_4i5s_G4_000_000_TEP.v 4i 5s","45,13","1803,46","1524,96","1664,29","13,95"
"","FANT_ANTHROPO_QUADRA_MESURE_5_20241105_180536-LM-00-PSFTOF_5i5s_G0_000_000_TEP.v 5i 5s","100,55","2015,3","1369,45","1664,82","13,95"
"","FANT_ANTHROPO_QUADRA_MESURE_5_20241105_180536-LM-00-PSFTOF_5i5s_G2_000_000_TEP.v 5i 5s","83,16","1960,36","1414,91","1664,89","13,95"
"","FANT_ANTHROPO_QUADRA_MESURE_5_20241105_180536-LM-00-PSFTOF_5i5s_G4_000_000_TEP.v 5i 5s","51,29","1825,9","1508,57","1664,58","13,95"
"","FANT_ANTHROPO_QUADRA_MESURE_5_20241105_180536-LM-00-PSFTOF_6i5s_G0_000_000_TEP.v 6i 5s","115","2068,59","1335,71","1664,77","13,95"
"","FANT_ANTHROPO_QUADRA_MESURE_5_20241105_180536-LM-00-PSFTOF_6i5s_G2_000_000_TEP.v 6i 5s","94,23","2004,26","1387,4","1664,88","13,95"
"","FANT_ANTHROPO_QUADRA_MESURE_5_20241105_180536-LM-00-PSFTOF_6i5s_G4_000_000_TEP.v 6i 5s","56,59","1850,04","1494,85","1664,59","13,95"
"Fond Foie","FANT_ANTHROPO_QUADRA_MESURE_5_20241105_180536-LM-00-PSFTOF_3i5s_G0_000_000_TEP.v 3i 5s","159,7","4865,96","3787,47","4286,44","14,13"
"","FANT_ANTHROPO_QUADRA_MESURE_5_20241105_180536-LM-00-PSFTOF_3i5s_G2_000_000_TEP.v 3i 5s","134,83","4768,65","3862,97","4286,7","14,13"
"","FANT_ANTHROPO_QUADRA_MESURE_5_20241105_180536-LM-00-PSFTOF_3i5s_G4_000_000_TEP.v 3i 5s","91,44","4568,54","4007,43","4287,23","14,13"
"","FANT_ANTHROPO_QUADRA_MESURE_5_20241105_180536-LM-00-PSFTOF_4i5s_G0_000_000_TEP.v 4i 5s","200,15","5024,05","3665,54","4283,01","14,13"
"","FANT_ANTHROPO_QUADRA_MESURE_5_20241105_180536-LM-00-PSFTOF_4i5s_G2_000_000_TEP.v 4i 5s","166,56","4894,75","3767,2","4283,26","14,13"
"","FANT_ANTHROPO_QUADRA_MESURE_5_20241105_180536-LM-00-PSFTOF_4i5s_G4_000_000_TEP.v 4i 5s","108,26","4632,42","3949,78","4283,74","14,13"
"","FANT_ANTHROPO_QUADRA_MESURE_5_20241105_180536-LM-00-PSFTOF_5i5s_G0_000_000_TEP.v 5i 5s","237,64","5170,64","3551,79","4283","14,13"
"","FANT_ANTHROPO_QUADRA_MESURE_5_20241105_180536-LM-00-PSFTOF_5i5s_G2_000_000_TEP.v 5i 5s","195,3","5009,5","3687,16","4283,26","14,13"
"","FANT_ANTHROPO_QUADRA_MESURE_5_20241105_180536-LM-00-PSFTOF_5i5s_G4_000_000_TEP.v 5i 5s","122,01","4688,06","3905,18","4283,7","14,13"
"","FANT_ANTHROPO_QUADRA_MESURE_5_20241105_180536-LM-00-PSFTOF_6i5s_G0_000_000_TEP.v 6i 5s","273,03","5308,28","3447,15","4283,89","14,13"
"","FANT_ANTHROPO_QUADRA_MESURE_5_20241105_180536-LM-00-PSFTOF_6i5s_G2_000_000_TEP.v 6i 5s","221,97","5115,79","3615,91","4284,17","14,13"
"","FANT_ANTHROPO_QUADRA_MESURE_5_20241105_180536-LM-00-PSFTOF_6i5s_G4_000_000_TEP.v 6i 5s","133,87","4736,87","3867,88","4284,58","14,13"
"T Foie","FANT_ANTHROPO_QUADRA_MESURE_5_20241105_180536-LM-00-PSFTOF_3i5s_G0_000_000_TEP.v 3i 5s","1266,22","11315,35","5568,73","8374,92","0,3"
"","FANT_ANTHROPO_QUADRA_MESURE_5_20241105_180536-LM-00-PSFTOF_3i5s_G2_000_000_TEP.v 3i 5s","1102,57","10649,83","5566,94","8117,98","0,3"
"","FANT_ANTHROPO_QUADRA_MESURE_5_20241105_180536-LM-00-PSFTOF_3i5s_G4_000_000_TEP.v 3i 5s","717,52","8959,59","5540,66","7378,1","0,3"
"","FANT_ANTHROPO_QUADRA_MESURE_5_20241105_180536-LM-00-PSFTOF_4i5s_G0_000_000_TEP.v 4i 5s","1574,81","12735,94","5620,12","9009,89","0,3"
"","FANT_ANTHROPO_QUADRA_MESURE_5_20241105_180536-LM-00-PSFTOF_4i5s_G2_000_000_TEP.v 4i 5s","1360,14","11880,55","5628,39","8700,2","0,3"
"","FANT_ANTHROPO_QUADRA_MESURE_5_20241105_180536-LM-00-PSFTOF_4i5s_G4_000_000_TEP.v 4i 5s","865,15","9748,2","5631,32","7811,58","0,3"
"","FANT_ANTHROPO_QUADRA_MESURE_5_20241105_180536-LM-00-PSFTOF_5i5s_G0_000_000_TEP.v 5i 5s","1811,93","13782,23","5618,66","9446,65","0,3"
"","FANT_ANTHROPO_QUADRA_MESURE_5_20241105_180536-LM-00-PSFTOF_5i5s_G2_000_000_TEP.v 5i 5s","1555,88","12778,32","5636,13","9098,1","0,3"
"","FANT_ANTHROPO_QUADRA_MESURE_5_20241105_180536-LM-00-PSFTOF_5i5s_G4_000_000_TEP.v 5i 5s","974,03","10304,14","5666,51","8100,58","0,3"
"","FANT_ANTHROPO_QUADRA_MESURE_5_20241105_180536-LM-00-PSFTOF_6i5s_G0_000_000_TEP.v 6i 5s","1993,59","14606,41","5594,66","9755,54","0,3"
"","FANT_ANTHROPO_QUADRA_MESURE_5_20241105_180536-LM-00-PSFTOF_6i5s_G2_000_000_TEP.v 6i 5s","1704,51","13437,42","5618,08","9378,16","0,3"
"","FANT_ANTHROPO_QUADRA_MESURE_5_20241105_180536-LM-00-PSFTOF_6i5s_G4_000_000_TEP.v 6i 5s","1055,02","10704,04","5674,45","8300,02","0,3"
"T Rachis","FANT_ANTHROPO_QUADRA_MESURE_5_20241105_180536-LM-00-PSFTOF_3i5s_G0_000_000_TEP.v 3i 5s","1644,95","10474,57","3631,92","6678,93","0,13"
"","FANT_ANTHROPO_QUADRA_MESURE_5_20241105_180536-LM-00-PSFTOF_3i5s_G2_000_000_TEP.v 3i 5s","1332,42","9166,47","3630,74","6177,78","0,13"
"","FANT_ANTHROPO_QUADRA_MESURE_5_20241105_180536-LM-00-PSFTOF_3i5s_G4_000_000_TEP.v 3i 5s","697,06","6341,52","3414,57","4886,75","0,13"
"","FANT_ANTHROPO_QUADRA_MESURE_5_20241105_180536-LM-00-PSFTOF_4i5s_G0_000_000_TEP.v 4i 5s","2261,38","13319,4","4087,36","7987,38","0,13"
"","FANT_ANTHROPO_QUADRA_MESURE_5_20241105_180536-LM-00-PSFTOF_4i5s_G2_000_000_TEP.v 4i 5s","1812,57","11470,73","4106,91","7332,02","0,13"
"","FANT_ANTHROPO_QUADRA_MESURE_5_20241105_180536-LM-00-PSFTOF_4i5s_G4_000_000_TEP.v 4i 5s","919,58","7604,35","3863,14","5665,2","0,13"
"","FANT_ANTHROPO_QUADRA_MESURE_5_20241105_180536-LM-00-PSFTOF_5i5s_G0_000_000_TEP.v 5i 5s","2697,69","15217,88","4379,31","8800,34","0,13"
"","FANT_ANTHROPO_QUADRA_MESURE_5_20241105_180536-LM-00-PSFTOF_5i5s_G2_000_000_TEP.v 5i 5s","2150,21","12989,1","4410,64","8041,6","0,13"
"","FANT_ANTHROPO_QUADRA_MESURE_5_20241105_180536-LM-00-PSFTOF_5i5s_G4_000_000_TEP.v 5i 5s","1073,23","8400,14","4137,65","6127,3","0,13"
"","FANT_ANTHROPO_QUADRA_MESURE_5_20241105_180536-LM-00-PSFTOF_6i5s_G0_000_000_TEP.v 6i 5s","2997,45","16447,24","4588,18","9311,81","0,13"
"","FANT_ANTHROPO_QUADRA_MESURE_5_20241105_180536-LM-00-PSFTOF_6i5s_G2_000_000_TEP.v 6i 5s","2381,61","13971,15","4622,59","8483,79","0,13"
"","FANT_ANTHROPO_QUADRA_MESURE_5_20241105_180536-LM-00-PSFTOF_6i5s_G4_000_000_TEP.v 6i 5s","1178,32","8906,05","4316,77","6406,87","0,13"
"T1","FANT_ANTHROPO_QUADRA_MESURE_5_20241105_180536-LM-00-PSFTOF_3i5s_G0_000_000_TEP.v 3i 5s","2343,49","13990,03","4129,68","8644,27","0,19"
"","FANT_ANTHROPO_QUADRA_MESURE_5_20241105_180536-LM-00-PSFTOF_3i5s_G2_000_000_TEP.v 3i 5s","1950,98","12397,34","4188,08","8062,18","0,19"
"","FANT_ANTHROPO_QUADRA_MESURE_5_20241105_180536-LM-00-PSFTOF_3i5s_G4_000_000_TEP.v 3i 5s","1109,36","8782,11","4099,6","6494,09","0,19"
"","FANT_ANTHROPO_QUADRA_MESURE_5_20241105_180536-LM-00-PSFTOF_4i5s_G0_000_000_TEP.v 4i 5s","2637,92","15370,97","4212,73","9274,97","0,19"
"","FANT_ANTHROPO_QUADRA_MESURE_5_20241105_180536-LM-00-PSFTOF_4i5s_G2_000_000_TEP.v 4i 5s","2186,64","13556,71","4302,79","8623,67","0,19"
"","FANT_ANTHROPO_QUADRA_MESURE_5_20241105_180536-LM-00-PSFTOF_4i5s_G4_000_000_TEP.v 4i 5s","1225,48","9453,61","4246,85","6878,91","0,19"
"","FANT_ANTHROPO_QUADRA_MESURE_5_20241105_180536-LM-00-PSFTOF_5i5s_G0_000_000_TEP.v 5i 5s","2785,57","16049,24","4246,13","9609,61","0,19"
"","FANT_ANTHROPO_QUADRA_MESURE_5_20241105_180536-LM-00-PSFTOF_5i5s_G2_000_000_TEP.v 5i 5s","2306,07","14143,38","4360,08","8919,99","0,19"
"","FANT_ANTHROPO_QUADRA_MESURE_5_20241105_180536-LM-00-PSFTOF_5i5s_G4_000_000_TEP.v 5i 5s","1285,66","9807,23","4328,91","7078,71","0,19"
"","FANT_ANTHROPO_QUADRA_MESURE_5_20241105_180536-LM-00-PSFTOF_6i5s_G0_000_000_TEP.v 6i 5s","2858,4","16364,56","4259,7","9804,87","0,19"
"","FANT_ANTHROPO_QUADRA_MESURE_5_20241105_180536-LM-00-PSFTOF_6i5s_G2_000_000_TEP.v 6i 5s","2366,84","14440,6","4394,15","9092,54","0,19"
"","FANT_ANTHROPO_QUADRA_MESURE_5_20241105_180536-LM-00-PSFTOF_6i5s_G4_000_000_TEP.v 6i 5s","1318,69","10007,75","4382,29","7194,73","0,19"
"T2","FANT_ANTHROPO_QUADRA_MESURE_5_20241105_180536-LM-00-PSFTOF_3i5s_G0_000_000_TEP.v 3i 5s","1580,85","9905,02","3416,54","6792,06","0,12"
"","FANT_ANTHROPO_QUADRA_MESURE_5_20241105_180536-LM-00-PSFTOF_3i5s_G2_000_000_TEP.v 3i 5s","1260,16","8658,47","3450,04","6263,42","0,12"
"","FANT_ANTHROPO_QUADRA_MESURE_5_20241105_180536-LM-00-PSFTOF_3i5s_G4_000_000_TEP.v 3i 5s","635,64","6056,3","3348,56","4940,16","0,12"
"","FANT_ANTHROPO_QUADRA_MESURE_5_20241105_180536-LM-00-PSFTOF_4i5s_G0_000_000_TEP.v 4i 5s","1940,68","11410,55","3443,98","7466,15","0,12"
"","FANT_ANTHROPO_QUADRA_MESURE_5_20241105_180536-LM-00-PSFTOF_4i5s_G2_000_000_TEP.v 4i 5s","1527,13","9816,98","3516,39","6838,78","0,12"
"","FANT_ANTHROPO_QUADRA_MESURE_5_20241105_180536-LM-00-PSFTOF_4i5s_G4_000_000_TEP.v 4i 5s","741,92","6606,7","3467,66","5289,15","0,12"
"","FANT_ANTHROPO_QUADRA_MESURE_5_20241105_180536-LM-00-PSFTOF_5i5s_G0_000_000_TEP.v 5i 5s","2201,34","12476,67","3403,99","7886,59","0,12"
"","FANT_ANTHROPO_QUADRA_MESURE_5_20241105_180536-LM-00-PSFTOF_5i5s_G2_000_000_TEP.v 5i 5s","1717,16","10611,46","3509,86","7191,6","0,12"
"","FANT_ANTHROPO_QUADRA_MESURE_5_20241105_180536-LM-00-PSFTOF_5i5s_G4_000_000_TEP.v 5i 5s","813,13","6947,53","3511,59","5489,52","0,12"
"","FANT_ANTHROPO_QUADRA_MESURE_5_20241105_180536-LM-00-PSFTOF_6i5s_G0_000_000_TEP.v 6i 5s","2398,36","13279,71","3344,92","8172,54","0,12"
"","FANT_ANTHROPO_QUADRA_MESURE_5_20241105_180536-LM-00-PSFTOF_6i5s_G2_000_000_TEP.v 6i 5s","1858,99","11195,64","3478,99","7428,11","0,12"
