"Contour","Description des séries","Déviation standard (BQML)","Max (BQML)","Min (BQML)","Moyenne (BQML)","Volume (ml)"
"médiastin","FANT_ANTHROPO_QUADRA_MESURE_6_20241107_173733-LM-00-PSFTOF_3i5s_G0_000_000_TEP.v 3i 5s","94,41","1902,93","1256","1552,06","54,38"
"","FANT_ANTHROPO_QUADRA_MESURE_6_20241107_173733-LM-00-PSFTOF_3i5s_G2_000_000_TEP.v 3i 5s","79,51","1825,87","1305,28","1552,23","54,38"
"","FANT_ANTHROPO_QUADRA_MESURE_6_20241107_173733-LM-00-PSFTOF_3i5s_G4_000_000_TEP.v 3i 5s","51,98","1713,74","1356,2","1552,54","54,38"
"","FANT_ANTHROPO_QUADRA_MESURE_6_20241107_173733-LM-00-PSFTOF_4i5s_G0_000_000_TEP.v 4i 5s","117,63","1987,16","1174,38","1547,23","54,38"
"","FANT_ANTHROPO_QUADRA_MESURE_6_20241107_173733-LM-00-PSFTOF_4i5s_G2_000_000_TEP.v 4i 5s","97,68","1883,4","1245,16","1547,47","54,38"
"","FANT_ANTHROPO_QUADRA_MESURE_6_20241107_173733-LM-00-PSFTOF_4i5s_G4_000_000_TEP.v 4i 5s","61","1736,63","1344,83","1548,05","54,38"
"","FANT_ANTHROPO_QUADRA_MESURE_6_20241107_173733-LM-00-PSFTOF_5i5s_G0_000_000_TEP.v 5i 5s","139,46","2076,02","1102,99","1544,17","54,38"
"","FANT_ANTHROPO_QUADRA_MESURE_6_20241107_173733-LM-00-PSFTOF_5i5s_G2_000_000_TEP.v 5i 5s","114,58","1944,78","1189,3","1544,47","54,38"
"","FANT_ANTHROPO_QUADRA_MESURE_6_20241107_173733-LM-00-PSFTOF_5i5s_G4_000_000_TEP.v 5i 5s","69,26","1759,97","1318,16","1545,2","54,38"
"","FANT_ANTHROPO_QUADRA_MESURE_6_20241107_173733-LM-00-PSFTOF_6i5s_G0_000_000_TEP.v 6i 5s","160,06","2168","1039,05","1542,26","54,38"
"","FANT_ANTHROPO_QUADRA_MESURE_6_20241107_173733-LM-00-PSFTOF_6i5s_G2_000_000_TEP.v 6i 5s","130,34","2007,82","1141,08","1542,59","54,38"
"","FANT_ANTHROPO_QUADRA_MESURE_6_20241107_173733-LM-00-PSFTOF_6i5s_G4_000_000_TEP.v 6i 5s","76,73","1781,78","1293,26","1543,42","54,38"
"Fond Foie","FANT_ANTHROPO_QUADRA_MESURE_6_20241107_173733-LM-00-PSFTOF_3i5s_G0_000_000_TEP.v 3i 5s","178,13","4494,76","3258,72","3819,87","28,26"
"","FANT_ANTHROPO_QUADRA_MESURE_6_20241107_173733-LM-00-PSFTOF_3i5s_G2_000_000_TEP.v 3i 5s","153,05","4401,52","3337,49","3820,54","28,26"
"","FANT_ANTHROPO_QUADRA_MESURE_6_20241107_173733-LM-00-PSFTOF_3i5s_G4_000_000_TEP.v 3i 5s","106,27","4206,41","3494,14","3822,18","28,26"
"","FANT_ANTHROPO_QUADRA_MESURE_6_20241107_173733-LM-00-PSFTOF_4i5s_G0_000_000_TEP.v 4i 5s","219,36","4656,46","3107,67","3810,48","28,26"
"","FANT_ANTHROPO_QUADRA_MESURE_6_20241107_173733-LM-00-PSFTOF_4i5s_G2_000_000_TEP.v 4i 5s","185,61","4535,33","3216,88","3811,27","28,26"
"","FANT_ANTHROPO_QUADRA_MESURE_6_20241107_173733-LM-00-PSFTOF_4i5s_G4_000_000_TEP.v 4i 5s","123,22","4285,55","3414,71","3813,21","28,26"
