"Contour","Description des séries","Déviation standard (BQML)","Max (BQML)","Min (BQML)","Moyenne (BQML)","Volume (ml)"
"médiastin","3I5S_G2","367,41","3585,62","683,62","1658,04","54,37"
"","3I5S_G4","190,86","2445,62","1139,44","1657,7","54,37"
"","4I5S_G0","652,78","5412,92","311,79","1655,11","54,37"
"","4I5S_G2","452,57","4062,65","588,93","1654,28","54,37"
"","4I5S_G4","223,28","2589,85","1069,69","1654","54,37"
"","5I5S_G0","775,33","6357,62","223,77","1653,34","54,37"
"","5I5S_G2","525,6","4466,15","499,24","1652,39","54,37"
"","5I5S_G4","247,79","2693,36","1008,18","1652,08","54,37"
"","6I5S_G0","884,59","7316,96","162,89","1652,66","54,37"
"","6I5S_G2","587,9","4845,54","431,62","1651,59","54,37"
"","6I5S_G4","266,21","2766,69","954,21","1651,21","54,37"
"","3I5S_G0","516,82","4486,86","437,95","1658,76","54,37"
"Fond Foie","3I5S_G2","685,42","7325,86","2281,4","4179,57","28,18"
"","3I5S_G4","352,48","5525,91","3248,45","4176,44","28,18"
"","4I5S_G0","1217,37","10557,52","1178,63","4178,59","28,18"
"","4I5S_G2","848,28","8275,03","1956,46","4177,41","28,18"
"","4I5S_G4","416,43","5758,87","3059,2","4173,5","28,18"
"","5I5S_G0","1452,5","12146,11","911,13","4181,58","28,18"
"","5I5S_G2","991,23","9120,32","1722,87","4180,07","28,18"
"","5I5S_G4","467,17","5931,24","2914,15","4175,41","28,18"
"","6I5S_G0","1667,06","13633,64","721,75","4185,55","28,18"
"","6I5S_G2","1116,39","9872,81","1551,8","4183,75","28,18"
"","6I5S_G4","507,37","6057,58","2800,01","4178,44","28,18"
"","3I5S_G0","961,36","8998,04","1567,54","4180,42","28,18"
"T1 - 5mm","3I5S_G2","432,01","3327,42","1602,7","2771,9","0,07"
"","3I5S_G4","137,32","2596,36","1991,67","2392,34","0,07"
"","4I5S_G0","926,05","4229,98","991,79","3082,85","0,07"
"","4I5S_G2","550,33","3595,11","1455,75","2889,13","0,07"
"","4I5S_G4","156,77","2691,38","1962,05","2456,96","0,07"
"","5I5S_G0","1106,05","4672,17","803,89","3173,82","0,07"
"","5I5S_G2","649,61","3784,63","1330,29","2957,06","0,07"
"","5I5S_G4","172,83","2742,1","1928,33","2487,65","0,07"
"","6I5S_G0","1256,42","5031,56","656,51","3236,23","0,07"
"","6I5S_G2","731,64","3926,77","1229,49","3001,25","0,07"
"","6I5S_G4","185,71","2772,14","1900,09","2503,99","0,07"
"","3I5S_G0","713,68","3761,95","1224,05","2935,97","0,07"
"T2 - 6 mm","3I5S_G2","637,5","4966,08","1868,58","3801,8","0,1"
"","3I5S_G4","310,48","3645,02","2365,39","3137,77","0,1"
"","4I5S_G0","1046,68","6131,3","1369,39","4229,8","0,1"
"","4I5S_G2","729,37","5290,43","1761,01","3948,9","0,1"
"","4I5S_G4","338,85","3785,95","2396,22","3230,96","0,1"
"","5I5S_G0","1173,88","6411,67","1229,47","4302,67","0,1"
"","5I5S_G2","792,44","5471,38","1661,43","4012","0,1"
"","5I5S_G4","354,07","3850,64","2399,74","3268,08","0,1"
"","6I5S_G0","1276,04","6601,06","1120,88","4338,9","0,1"
"","6I5S_G2","839,74","5585,06","1579,56","4043","0,1"
"","6I5S_G4","363,15","3885,19","2395,86","3284,91","0,1"
"","3I5S_G0","879,25","5667,97","1542,49","4061,78","0,1"
"T3 - 8 mm","3I5S_G2","1210","7115,92","2321,66","4504","0,27"
"","3I5S_G4","615,88","5191,87","2668,88","3837,17","0,27"
"","4I5S_G0","1937,99","9457,23","1790,46","4892,74","0,27"
"","4I5S_G2","1349,25","7520,58","2215,35","4643,02","0,27"
"","4I5S_G4","650,66","5348,73","2673,94","3935,45","0,27"
"","5I5S_G0","2137,58","9985,67","1625,08","4962,46","0,27"
"","5I5S_G2","1448,24","7751,21","2117,13","4705,42","0,27"
"","5I5S_G4","668,9","5413,38","2662,39","3977,92","0,27"
"","6I5S_G0","2292,7","10340,76","1494,35","4995,26","0,27"
"","6I5S_G2","1522,39","7892,55","2034,74","4734,69","0,27"
"","6I5S_G4","679,36","5440,31","2646,33","3996,97","0,27"
"","3I5S_G0","1674,32","8639,52","1987,6","4738,28","0,27"
"T4 - 10 mm","3I5S_G2","1966,01","10669,88","2302,91","5332,05","0,5"
"","3I5S_G4","1132,4","7178,4","2735,69","4689,78","0,5"
"","4I5S_G0","2632,62","13210,51","1356,85","5634,09","0,5"
"","4I5S_G2","2091,63","11207,46","2156,42","5410,75","0,5"
"","4I5S_G4","1175,06","7318,5","2708,26","4748,61","0,5"
"","5I5S_G0","2760,41","13531,8","1078,74","5659,29","0,5"
"","5I5S_G2","2160,28","11463,27","2039,15","5431,59","0,5"
"","5I5S_G4","1191","7350,89","2680,74","4761,13","0,5"
"","6I5S_G0","2854,45","13697,09","856,74","5667,57","0,5"
"","6I5S_G2","2205,15","11602,1","1946,51","5436,83","0,5"
"","6I5S_G4","1197,78","7365,96","2657,54","4761,75","0,5"
"","3I5S_G0","2430,76","12517,76","1687,04","5547,15","0,5"
"Rachis - 8mm","3I5S_G2","963,01","6661,91","2423,41","4498,58","0,27"
"","3I5S_G4","585,48","5126,49","2725,98","3849,96","0,27"
"","4I5S_G0","1430,91","8359,29","1808,09","5102,67","0,27"
"","4I5S_G2","1081,79","7270,39","2493,23","4853,27","0,27"
"","4I5S_G4","642,85","5536,35","2933,64","4123,76","0,27"
"","5I5S_G0","1581,74","8758,3","1636,9","5290,82","0,27"
"","5I5S_G2","1147,25","7539,56","2465,14","5026,32","0,27"
"","5I5S_G4","665,83","5719,91","2989,85","4257,19","0,27"
"","6I5S_G0","1707,79","8980,95","1463,3","5388,7","0,27"
"","6I5S_G2","1193,05","7664,79","2415,74","5116,11","0,27"
"","6I5S_G4","675,09","5804,53","3001,07","4326,52","0,27"
"","3I5S_G0","1221,26","7552,88","1932,85","4718,58","0,27"
"Foie - 8 mm","3I5S_G2","1380,15","9906,34","5081,66","7940,15","0,25"
"","3I5S_G4","710,76","8361,81","5464,24","7096,57","0,25"
"","4I5S_G0","2275,52","12219,9","4338,09","8715,56","0,25"
"","4I5S_G2","1667,63","10791,12","4937,52","8365,67","0,25"
"","4I5S_G4","832,33","8879,27","5481,15","7407,91","0,25"
"","5I5S_G0","2609,87","13185,59","4040,96","8982,54","0,25"
"","5I5S_G2","1877,69","11382,93","4763,2","8608,29","0,25"
"","5I5S_G4","912,87","9184,31","5450,95","7582,31","0,25"
"","6I5S_G0","2878","13928,82","3761,3","9139,37","0,25"
"","6I5S_G2","2036,46","11796,82","4588,61","8750,72","0,25"
"","6I5S_G4","967,7","9369,74","5405,84","7682,88","0,25"
"","3I5S_G0","1845,31","10920,16","4627,12","8248,19","0,25"
"Reins","3I5S_G2","1332,71","18529,05","8811,75","13530,6","12,82"
"","3I5S_G4","826,77","15874,82","8461,74","13476,64","12,82"
"","4I5S_G0","2270,42","22730,41","6700,83","13478,85","12,82"
"","4I5S_G2","1548,84","19321,49","8436,03","13468,04","12,82"
"","4I5S_G4","851,96","16062,78","8647,32","13421,44","12,82"
"","5I5S_G0","2634,44","24932,29","6013,52","13442,86","12,82"
"","5I5S_G2","1747,07","19971,6","8041,16","13434","12,82"
"","5I5S_G4","889,45","16205,45","8740,73","13392,06","12,82"
"","6I5S_G0","2965,3","27015,3","5399,19","13423,87","12,82"
"","6I5S_G2","1922,84","20510,09","7661,27","13416,37","12,82"
"","6I5S_G4","923,6","16312,59","8788,94","13377,5","12,82"
"","3I5S_G0","1873,99","20668,16","7436,23","13544,32","12,82"
"CQ Tumeurs","3I5S_G2","642,77","20144,34","14158,37","17858,79","16,8"
"","3I5S_G4","582","18710,44","13432,35","17660,45","16,8"
"","4I5S_G0","1082,05","22691,63","13379,33","17857,49","16,8"
"","4I5S_G2","725,6","20631,05","13968,6","17815,81","16,8"
"","4I5S_G4","582,38","18743,86","13513,83","17624,78","16,8"
"","5I5S_G0","1232,26","23552,93","13039,08","17847,87","16,8"
"","5I5S_G2","799,25","21078,77","13779,21","17806,41","16,8"
"","5I5S_G4","591,79","18791,57","13535,04","17616,87","16,8"
"","6I5S_G0","1363,25","24301,98","12753,05","17846,6","16,8"
"","6I5S_G2","861,11","21459,79","13620,32","17804,96","16,8"
