,Itération,Gaussien (mm),Tumeur,Concentration (Bq/mL),Volume (mL),Ecart concentration (Bq/mL),Ecart concentration carré (Bq/mL)^2,CNR Tumeur,CNR Tumeur volumique,SNR Fond
0,3,0,T Rachis,6321.52,0.15,11678.48,136386895.1104,55.879883242032875,372.53255494688585,19.951057619257067
1,3,0,T1,9906.32,0.11,8093.68,65507655.9424,98.88200247910753,898.9272952646139,19.951057619257067
2,3,0,T2,7281.27,0.08,10718.73,114891172.81289999,67.39273861409893,842.4092326762366,19.951057619257067
3,3,0,T3,5740.56,0.03,12259.439999999999,150293869.11359996,48.91087208604903,1630.3624028683012,19.951057619257067
4,3,0,T4,2965.29,0.02,15034.71,226042504.78409997,15.619616937902357,780.9808468951178,19.951057619257067
5,3,0,T Foie,7968.59,0.41,10031.41,100629186.5881,19.596596815669965,47.79657759919504,19.951057619257067
6,3,2,T Rachis,5867.33,0.15,12132.67,147201681.3289,59.004116959064326,393.3607797270955,23.34437426900585
7,3,2,T1,9117.19,0.11,8882.81,78904313.4961,104.61618713450292,951.0562466772993,23.34437426900585
8,3,2,T2,6657.69,0.08,11342.310000000001,128647996.13610002,70.09688888888888,876.211111111111,23.34437426900585
9,3,2,T3,5109.35,0.03,12890.65,166168857.42249998,48.36580116959065,1612.1933723196883,23.34437426900585
10,3,2,T4,2613.45,0.02,15386.55,236745920.90249997,13.335625730994147,666.7812865497074,23.34437426900585
11,3,2,T Foie,7755.93,0.41,10244.07,104940970.16489999,21.79711364224696,53.16369181035844,23.34437426900585
12,3,4,T Rachis,4675.55,0.15,13324.45,177540967.8025,60.7529245663574,405.0194971090493,33.5502218636547
13,3,4,T1,7099.25,0.11,10900.75,118826350.5625,109.63755546591366,996.7050496901243,33.5502218636547
14,3,4,T2,5144.52,0.08,12855.48,165263366.03039998,70.21177894312223,877.6472367890278,33.5502218636547
15,3,4,T3,3745.53,0.03,14254.47,203189914.9809,41.994957644211375,1399.8319214737126,33.5502218636547
16,3,4,T4,1877.8,0.02,16122.2,259925332.84000003,4.323920935861231,216.19604679306156,33.5502218636547
