Itérations,Gaussien (mm),Contour,Déviation standard (BQML),Moyenne (BQML),Volume (ml)
3,0,Fond 1,96.87,1708.33,14.26
3,0,Fond 2,77.03,1608.2,14.01
3,0,Fond 3,76.19,1673.03,13.95
3,0,Fond Foie,182.77,4386.92,14.32
3,0,Moyenne Fond,83.36333333333333,1663.1866666666665,14.073333333333332
3,0,T Foie,1323.54,7968.59,0.41
3,0,T Rachis,1828.03,6321.52,0.15
3,0,T1,1965.44,9906.32,0.11
3,0,T2,1497.4,7281.27,0.08
3,0,T3,845.45,5740.56,0.03
3,0,T4,254.56,2965.29,0.02
3,2,Fond 1,80.9,1708.48,14.26
3,2,Fond 2,67.65,1608.23,14.01
3,2,Fond 3,65.2,1673.15,13.95
3,2,Fond Foie,154.52,4387.84,14.32
3,2,Moyenne Fond,71.25,1663.2866666666669,14.073333333333332
3,2,T Foie,1161.9,7755.93,0.41
3,2,T Rachis,1502.15,5867.33,0.15
3,2,T1,1611.07,9117.19,0.11
3,2,T2,1179.86,6657.69,0.08
3,2,T3,627.96,5109.35,0.03
3,2,T4,187.1,2613.45,0.02
3,4,Fond 1,52.89,1708.72,14.26
3,4,Fond 2,50.57,1608.17,14.01
3,4,Fond 3,45.28,1673.37,13.95
3,4,Fond Foie,105.32,4390.27,14.32
3,4,Moyenne Fond,49.580000000000005,1663.42,14.073333333333332
3,4,T Foie,771.31,7131.24,0.41
3,4,T Rachis,835.87,4675.55,0.15
3,4,T1,877.44,7099.25,0.11
3,4,T2,576.83,5144.52,0.08
3,4,T3,283.62,3745.53,0.03
3,4,T4,88.16,1877.8,0.02
4,0,Fond 1,122.14,1704.89,14.26
4,0,Fond 2,93.32,1609.13,14.01
4,0,Fond 3,93.8,1674.01,13.95
4,0,Fond Foie,227.49,4386.27,14.32
4,0,Moyenne Fond,103.08666666666666,1662.676666666667,14.073333333333332
4,0,T Foie,1637.56,8507.01,0.41
4,0,T Rachis,2458.34,7555.7,0.15
4,0,T1,2240.36,10688.32,0.11
4,0,T2,1849.56,8066.81,0.08
4,0,T3,1125.48,6628.78,0.03
4,0,T4,368.83,3701.89,0.02
4,2,Fond 1,100.65,1705.06,14.26
4,2,Fond 2,80.44,1609.17,14.01
4,2,Fond 3,78.77,1674.09,13.95
4,2,Fond Foie,189.01,4387.27,14.32
4,2,Moyenne Fond,86.62,1662.7733333333333,14.073333333333332
4,2,T Foie,1427.46,8254.03,0.41
4,2,T Rachis,1992.18,6963.47,0.15
4,2,T1,1829.52,9800.55,0.11
4,2,T2,1437.26,7316.46,0.08
4,2,T3,812.93,5816.57,0.03
4,2,T4,258.61,3203.23,0.02
4,4,Fond 1,63.04,1705.35,14.26
4,4,Fond 2,57.17,1609.13,14.01
4,4,Fond 3,51.08,1674.26,13.95
4,4,Fond Foie,121.81,4389.85,14.32
4,4,Moyenne Fond,57.096666666666664,1662.9133333333332,14.073333333333332
4,4,T Foie,928.6,7511.98,0.41
4,4,T Rachis,1063.95,5423.63,0.15
4,4,T1,981.71,7545.82,0.11
4,4,T2,676.31,5525.97,0.08
4,4,T3,337.18,4114.86,0.03
4,4,T4,106.12,2196.28,0.02
5,0,Fond 1,145.95,1703.28,14.26
5,0,Fond 2,108.13,1609.82,14.01
5,0,Fond 3,110.82,1674.7,13.95
5,0,Fond Foie,270.12,4387.71,14.32
5,0,Moyenne Fond,121.63333333333333,1662.6000000000001,14.073333333333332
5,0,T Foie,1877.31,8870.04,0.41
5,0,T Rachis,2897.27,8328.85,0.15
5,0,T1,2380.73,11095.6,0.11
5,0,T2,2105.13,8571.16,0.08
5,0,T3,1359.14,7247.65,0.03
5,0,T4,479.13,4261.91,0.02
5,2,Fond 1,118.98,1703.48,14.26
5,2,Fond 2,91.74,1609.89,14.01
5,2,Fond 3,91.99,1674.77,13.95
5,2,Fond Foie,221.67,4388.78,14.32
5,2,Moyenne Fond,100.90333333333332,1662.7133333333334,14.073333333333332
5,2,T Foie,1628.26,8587.97,0.41
5,2,T Rachis,2328.28,7644.24,0.15
5,2,T1,1943.94,10155.8,0.11
5,2,T2,1620.45,7731.21,0.08
5,2,T3,962.7,6294.34,0.03
5,2,T4,324.98,3640.26,0.02
5,4,Fond 1,71.98,1703.82,14.26
5,4,Fond 2,62.25,1609.92,14.01
5,4,Fond 3,57.39,1674.86,13.95
5,4,Fond Foie,137.19,4391.45,14.32
5,4,Moyenne Fond,63.873333333333335,1662.8666666666668,14.073333333333332
5,4,T Foie,1044.39,7761.63,0.41
5,4,T Rachis,1213.59,5872.88,0.15
5,4,T1,1039.08,7776.1,0.11
5,4,T2,742.63,5749.0,0.08
5,4,T3,376.73,4340.33,0.03
5,4,T4,120.52,2415.28,0.02
6,0,Fond 1,168.5,1702.42,14.26
6,0,Fond 2,122.05,1610.02,14.01
6,0,Fond 3,126.8,1675.04,13.95
6,0,Fond Foie,310.41,4388.72,14.32
6,0,Moyenne Fond,139.11666666666667,1662.493333333333,14.073333333333332
6,0,T Foie,2060.32,9122.65,0.41
6,0,T Rachis,3197.52,8819.17,0.15
