Itérations,Gaussien (mm),Contour,Déviation standard (BQML),Moyenne (BQML),Volume (ml)
3,0,Fond 1,479.79,1390.05,13.95
3,0,Fond 2,356.12,1337.96,13.97
3,0,Fond 3,347.37,1310.84,13.99
3,0,Fond Foie,790.61,3597.66,13.96
3,0,Moyenne Fond,394.4266666666667,1346.2833333333333,13.969999999999999
3,0,T Foie,2010.46,6756.49,0.28
3,0,T Rachis,1470.89,4203.71,0.18
3,0,T1,1957.91,5380.74,0.18
3,0,T2,1246.89,4228.57,0.09
3,0,T3,520.46,2873.28,0.07
3,0,T4,1325.84,2159.95,0.03
3,2,Fond 1,336.76,1390.46,13.95
3,2,Fond 2,247.29,1338.25,13.97
3,2,Fond 3,239.6,1314.45,13.99
3,2,Fond Foie,554.59,3598.95,13.96
3,2,Moyenne Fond,274.55,1347.72,13.969999999999999
3,2,T Foie,1588.29,6544.42,0.28
3,2,T Rachis,1235.16,3982.73,0.18
3,2,T1,1564.99,5073.83,0.18
3,2,T2,782.93,3948.93,0.09
3,2,T3,418.66,2744.04,0.07
3,2,T4,691.05,1882.38,0.03
3,4,Fond 1,170.44,1392.95,13.95
3,4,Fond 2,120.9,1338.87,13.97
3,4,Fond 3,113.33,1319.86,13.99
3,4,Fond Foie,288.98,3598.13,13.96
3,4,Moyenne Fond,134.89000000000001,1350.56,13.969999999999999
3,4,T Foie,927.02,5946.79,0.28
3,4,T Rachis,820.78,3340.76,0.18
3,4,T1,959.86,4280.89,0.18
3,4,T2,411.08,3297.55,0.09
3,4,T3,277.57,2351.2,0.07
3,4,T4,131.93,1324.71,0.03
4,0,Fond 1,602.05,1384.83,13.95
4,0,Fond 2,448.03,1339.0,13.97
4,0,Fond 3,438.05,1309.06,13.99
4,0,Fond Foie,998.57,3597.79,13.96
4,0,Moyenne Fond,496.0433333333333,1344.2966666666666,13.969999999999999
4,0,T Foie,2391.75,7051.35,0.28
4,0,T Rachis,1716.36,4575.49,0.18
4,0,T1,2099.59,5493.71,0.18
4,0,T2,1525.07,4345.9,0.09
4,0,T3,609.9,2959.28,0.07
4,0,T4,1771.31,2398.37,0.03
4,2,Fond 1,409.98,1385.12,13.95
4,2,Fond 2,302.92,1339.37,13.97
4,2,Fond 3,294.68,1313.29,13.99
4,2,Fond Foie,682.31,3599.26,13.96
4,2,Moyenne Fond,335.86,1345.9266666666665,13.969999999999999
4,2,T Foie,1838.54,6812.6,0.28
4,2,T Rachis,1396.29,4322.61,0.18
4,2,T1,1629.76,5180.34,0.18
4,2,T2,880.42,4042.46,0.09
4,2,T3,459.85,2825.91,0.07
4,2,T4,900.54,2074.12,0.03
4,4,Fond 1,196.55,1387.79,13.95
4,4,Fond 2,140.16,1340.17,13.97
4,4,Fond 3,132.27,1319.62,13.99
4,4,Fond Foie,336.04,3598.04,13.96
4,4,Moyenne Fond,156.32666666666668,1349.1933333333334,13.969999999999999
4,4,T Foie,1033.41,6141.85,0.28
4,4,T Rachis,903.6,3593.76,0.18
4,4,T1,975.27,4368.91,0.18
4,4,T2,426.03,3358.46,0.09
4,4,T3,285.29,2414.85,0.07
4,4,T4,153.15,1425.69,0.03
5,0,Fond 1,602.05,1384.83,13.95
5,0,Fond 2,448.03,1339.0,13.97
5,0,Fond 3,438.05,1309.06,13.99
5,0,Fond Foie,998.57,3597.79,13.96
5,0,Moyenne Fond,496.0433333333333,1344.2966666666666,13.969999999999999
5,0,T Foie,2391.75,7051.35,0.28
5,0,T Rachis,1716.36,4575.49,0.18
5,0,T1,2099.59,5493.71,0.18
5,0,T2,1525.07,4345.9,0.09
5,0,T3,609.9,2959.28,0.07
5,0,T4,1771.31,2398.37,0.03
5,2,Fond 1,409.98,1385.12,13.95
5,2,Fond 2,302.92,1339.37,13.97
5,2,Fond 3,294.68,1313.29,13.99
5,2,Fond Foie,682.31,3599.26,13.96
5,2,Moyenne Fond,335.86,1345.9266666666665,13.969999999999999
5,2,T Foie,1838.54,6812.6,0.28
5,2,T Rachis,1396.29,4322.61,0.18
5,2,T1,1629.76,5180.34,0.18
5,2,T2,880.42,4042.46,0.09
5,2,T3,459.85,2825.91,0.07
5,2,T4,900.54,2074.12,0.03
5,4,Fond 1,214.99,1386.06,13.95
5,4,Fond 2,154.49,1340.93,13.97
5,4,Fond 3,146.35,1319.27,13.99
5,4,Fond Foie,372.24,3600.59,13.96
5,4,Moyenne Fond,171.94333333333336,1348.7533333333333,13.969999999999999
5,4,T Foie,1098.46,6242.13,0.28
5,4,T Rachis,939.15,3704.02,0.18
5,4,T1,977.08,4396.7,0.18
5,4,T2,430.69,3374.83,0.09
5,4,T3,290.09,2436.38,0.07
5,4,T4,164.71,1473.24,0.03
6,0,Fond 1,794.37,1383.23,13.95
6,0,Fond 2,599.38,1340.12,13.97
6,0,Fond 3,587.08,1306.37,13.99
6,0,Fond Foie,1362.27,3603.85,13.96
6,0,Moyenne Fond,660.2766666666666,1343.24,13.969999999999999
6,0,T Foie,2912.79,7294.57,0.28
6,0,T Rachis,1994.62,4822.91,0.18
6,0,T1,2282.45,5524.9,0.18
6,0,T2,1928.15,4421.76,0.09
6,0,T3,769.52,3007.62,0.07
6,0,T4,2316.39,2573.34,0.03
6,2,Fond 1,516.57,1383.26,13.95
6,2,Fond 2,388.82,1340.45,13.97
6,2,Fond 3,379.42,1311.36,13.99
6,2,Fond Foie,892.07,3605.51,13.96
6,2,Moyenne Fond,428.27,1345.0233333333333,13.969999999999999
6,2,T Foie,2147.02,7032.81,0.28
6,2,T Rachis,1536.53,4545.87,0.18
6,2,T1,1693.21,5215.03,0.18
6,2,T2,1013.03,4090.94,0.09
6,2,T3,530.81,2870.39,0.07
6,2,T4,1145.4,2215.09,0.03
6,4,Fond 1,227.77,1385.85,13.95
6,4,Fond 2,165.1,1341.32,13.97
6,4,Fond 3,156.81,1318.86,13.99
6,4,Fond Foie,400.24,3603.54,13.96
6,4,Moyenne Fond,183.2266666666667,1348.6766666666665,13.969999999999999
6,4,T Foie,1140.24,6296.41,0.28
6,4,T Rachis,955.49,3753.72,0.18
6,4,T1,976.0,4405.15,0.18
6,4,T2,432.35,3378.79,0.09
6,4,T3,294.37,2444.35,0.07
6,4,T4,171.23,1496.15,0.03
